,title,post_id,kind_name,floor_str,price,section_name,role_name,area,contact,refresh_time,station,distance
0,近永春捷運站8分升官祿財貴人房.CP質讚,13556295,分租套房,5F/5F,"10,555",信義區,屋主,5,何小姐,5小時內,松山站,596
1,內科共生宅，全新家具！垃圾代收含網路,13556082,分租套房,4F/5F,"10,500",內湖區,代理人,4,林女士,7小時內,西湖站,349
2,近東湖捷運分租套房(獨立洗衣機、對外窗）,13555632,分租套房,4F/4F,"11,000",內湖區,屋主,6,林小姐,9小時內,東湖站,350
3,師大古亭捷運一分鐘,13554850,分租套房,5F/5F,"11,500",大安區,屋主,6,盧先生,7小時內,古亭站,202
4,捷運北門站/超值套房/含水費網路第四台,13554211,分租套房,4F/4F,"11,000",大同區,屋主,5.1,伍小姐,12小時內,北門站,320
5,超優質1+1套房、永春站2分鐘超方便,13553651,分租套房,1F/1F,"9,000",信義區,屋主,7,林小姐,7小時內,永春站,277
6,中山區松江南京捷運站步行3分鐘電梯華廈,13553688,分租套房,3F/7F,"12,000",中山區,屋主,6,陳小姐,15小時內,松江南京站,212
7,葫洲東湖捷運小資首選代收包裹電梯套房,13552981,分租套房,B1/13F,"9,500",內湖區,仲介,6,陳先生,15小時內,葫洲站,225
8,中山捷運新光誠品百貨套房,13549951,分租套房,2F/3F,"9,000",中山區,代理人,6,斯先生,22小時內,中山站,187
9,歡迎短租捷運站安靜的套雅房任選寵物新樂園,13549939,分租套房,3F/4F,"12,000",信義區,屋主,7,周媽媽,2小時內,永春站,540
10,(謝絕房仲)吉祥八德套房,13549188,分租套房,3F/5F,"11,000",松山區,屋主,6,陳先生,2天前,南京三民站,275
11,江南街與瑞光路口全新裝潢北歐風優質套房,13548394,分租套房,2F/4F,"10,000",內湖區,屋主,5,王小姐,2天前,港墘站,423
12,房間廁所有窗雙連捷運商圈中山北路馬偕醫院,13547209,分租套房,4F/5F,"10,000",大同區,代理人,5,蔡先生,7小時內,雙連站,205
13,美樂*師大首選一樓套房*方正格局*秒租,13546907,分租套房,1F/4F,"11,000",中正區,仲介,6,曾先生,2天前,台電大樓站,443
14,"永春捷運站附近鄰近松山車站,交通便利",13543717,分租套房,2F/4F,"9,500",信義區,屋主,6,徐小姐,7小時內,永春站,262
15,師大夜市安靜公寓/兩面採光,13543699,分租套房,3F/4F,"12,000",大安區,仲介,5,邱先生,3天前,台電大樓站,287
16,陽明大學套房,13461424,分租套房,1F/5F,"11,500",北投區,屋主,10,程小姐,2天前,唭哩岸站,480
17,屋主自租，通風及光線良好!,13543062,分租套房,5F/5F,"11,000",北投區,屋主,7,林先生,23小時內,石牌站,300
18,八德路建國北路口近忠孝新生忠孝復興新套房,13542482,分租套房,2F/3F,"9,000",大安區,屋主,5,陳小姐,18小時內,忠孝新生站,687
19,分租套房，近萬隆捷運站及台師大,13542023,分租套房,1F/4F,"9,500",文山區,屋主,6,林小姐,7小時內,萬隆站,191
20,行天宮捷運站精美套房(吉林路236巷C),13541461,分租套房,2F/2F,"10,000",中山區,屋主,7,陳小姐,7小時內,行天宮站,346
21,近北車優質套房上班族最愛,13540583,分租套房,7F/9F,"10,500",大同區,仲介,5,陳小姐,4天前,大橋頭站,361
22,捷運行天宮站優質套房，上班族の最愛,13540576,分租套房,3F/3F,"12,000",中山區,仲介,5.5,陳小姐,4天前,行天宮站,247
23,"近捷運港墘站,737巷夜市－分租套房",13539724,分租套房,3F/5F,"9,500",內湖區,屋主,5.5,周先生,4天前,港墘站,205
24,近高鐵捷運南港站南港軟體園區低樓層,13539637,分租套房,1F/4F,"11,000",南港區,屋主,7,周小姐,15小時內,南港站,577
25,新式優質裝潢，商旅式管理豪華小套房,13539488,分租套房,4F/4F,"11,000",北投區,代理人,10,蔡先生,7小時內,明德站,259
26,東門捷運站永康商圈套房,13539369,分租套房,頂樓加蓋/5F,"12,000",大安區,屋主,5,趙小姐,7小時內,東門站,236
27,🌷捷運善導寺⭐️小資套房非頂加採光好,13539195,分租套房,5F/5F,"9,800",中山區,仲介,6,熊先生,4天前,善導寺站,625
28,疫情大降價內湖站走路2分鐘公園旁大套房,13539052,分租套房,1F/5F,"11,999",內湖區,仲介,8,郭小姐,56分鐘內,內湖站,209
29,離塵不離城套房,13538725,分租套房,1F/3F,"11,111",文山區,仲介,7,張先生,4天前,景美站,587
30,近光華商場走路5分鐘,13537420,分租套房,5F/7F,"12,000",中山區,代理人,4,張先生,20小時內,善導寺站,598
31,近北車，舒適套房，專人管理，上班族最愛,13536462,分租套房,7F/9F,"10,800",大同區,仲介,6,陳小姐,5天前,大橋頭站,361
