name,time
台北車站,2
忠孝新生,2
忠孝復興,4
西門,4
東門,6
松江南京,6
忠孝敦化,6
台大醫院,7
中山,7
行天宮,7
龍山寺,7
國父紀念館,7
雙連,8
小南門,8
北門,8
中正紀念堂,9
大安森林公園,9
中山國小,9
市政府,9
南京復興,10
大安,10
民權西路,10
古亭,10
江子翠,10
台北小巨蛋,11
永春,11
中山國中,12
科技大樓,12
圓山,12
新埔,12
信義安和,13
台電大樓,13
南京三民,13
大橋頭,13
後山埤,13
六張犁,14
劍潭,14
頂溪,14
板橋,14
松山機場,15
台北101/世貿,15
公館,15
台北橋,15
昆陽,15
麟光,16
士林,16
松山,16
永安市場,16
三重國小,16
府中,16
象山,17
菜寮,17
南港,17
辛亥,18
大直,18
芝山,18
萬隆,18
景安,18
三和國中,18
亞東醫院,18
三重,19
劍南路,20
南港展覽館,20
明德,20
景美,20
南勢角,20
徐匯中學,20
萬芳醫院,21
石牌,21
海山,21
新埔民生,21
西湖,22
大坪林,22
先嗇宮,22
三民高中,22
萬芳社區,23
唭哩岸,23
七張,23
土城,23
木柵,24
港墘,24
頭前庄,24
蘆洲,24
動物園,25
奇岩,25
新店區公所,25
永寧,25
景平,25
板橋,25
文德,26
南港軟體園區,26
新莊,26
幸福,26
內湖,27
北投,27
新店,27
十四張,27
秀朗橋,27
中和,27
東湖,28
板新,28
新北產業園區,28
大湖公園,29
葫洲,29
輔大,29
頂埔,29
橋和,29
復興崗,30
小碧潭,30
中原,30
丹鳳,31
忠義,32
新北投,33
關渡,34
迴龍,34
竹圍,37
紅樹林,39
淡水,43
